Sample_ID	Xenium_neoplastic_labels_v7	Xenium_neoplastic_labels_v7_subclone	Xenium_unknown_low_quality_labels_v7	Manual_xenium_cell_types_v7	Xenium_snv_object	Xenium_output_folder	allele		
HT227P1-S1H1L1U1	"Tumor,PanIN"	"Tumor,PanIN"	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT227P1-S1H1L1U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/HT227P1-S1H1L1U1/HT227P1-S1H1L1U1_processed_sub_2_cluster.rds	/diskmnt/primary/Xenium/data/20240411__214732__20240411_PECGS_HTAN_SNP-eval/output-XETG00122__0022792__HT227P1-S1H1L1U1__20240411__214815/	KRAS p.G12D	PDAC	primary
HT242P1-S1H4L4U1	Tumor	Tumor	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT242P1-S1H4L4U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/HT242P1-S1H4L4U1/HT242P1-S1H4L4U1_processed.rds	/diskmnt/primary/Xenium/data/20240411__214732__20240411_PECGS_HTAN_SNP-eval/output-XETG00122__0022792__HT242P1-S1H4L4U1__20240411__214815/	KRAS p.G12D	PDAC	primary
SP001P1-Fp1U1	Tumor	Tumor	Necrosis	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/cell_types/manual_individual_cell_types_v1/SP001P1-Fp1U1/Manual_individual_cell_type_v1.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/SP001P1-Fp1U1/SP001P1-Fp1U1_processed.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20240322__175618__202040322_HTAN_SNP_prostate/output-XETG00122__0010297__SP001P1-Fp1U1__20240322__175654_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12D	PDAC	met
HT270P1-S1H1A1US2_1	"Tumor,PanIN"	"Tumor,PanIN"	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT270P1-S1H1A1US2_1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/HT270P1-S1H1A1US2_1/HT270P1-S1H1A1US2_1_processed_sub_5_cluster.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20240112__230030__20240112_24018_8UTB89_retry/output-XETG00122__0010375__HT270P1-S1H1A1US2_1__20240112__230102_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12D	PDAC	primary
SP002C1-Fp1U2	Tumor	Tumor	Necrosis	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/cell_types/manual_individual_cell_types_v1/SP002C1-Fp1U2/Manual_individual_cell_type_v1.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/SP002C1-Fp1U2/SP002C1-Fp1U2_processed.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20240112__230030__20240112_24018_8UTB89_retry/output-XETG00122__0010375__SP002C1-Fp1U2__20240112__230102_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12V	CRC	primary
HT060P1-S1R1Fp1U1	Tumor	Tumor	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT060P1-S1R1Fp1U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/HT060P1-S1R1Fp1U1/HT060P1-S1R1Fp1U1_processed_sub.4.12.cluster.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20241108__214933__20241108_V1_KRAS_HTAN_PDAC_CRC/output-XETG00122__0033854__HT060P1-S1R1Fp1U1__20241108__215027_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12V	PDAC	primary
HT061P1-S1P1A1L1U1	"Tumor,PanIN"	"Tumor,PanIN"	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT061P1-S1P1A1L1U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/HT061P1-S1P1A1L1U1/HT061P1-S1P1A1L1U1_processed_sub_4_6_8_12_14_cluster.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20241108__214933__20241108_V1_KRAS_HTAN_PDAC_CRC/output-XETG00122__0034249__HT061P1-S1P1A1L1U1__20241108__215027_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12D	PDAC	primary
HT061P1-S1P1A1L4U1	Tumor	Tumor	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT061P1-S1P1A1L4U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/HT061P1-S1P1A1L4U1/HT061P1-S1P1A1L4U1_processed_sub_4_cluster.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20241108__214933__20241108_V1_KRAS_HTAN_PDAC_CRC/output-XETG00122__0034249__HT061P1-S1P1A1L4U1__20241108__215027_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12D	PDAC	primary
HT125P1-S1H4A1L1U1	Tumor	Tumor	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT125P1-S1H4A1L1U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/HT125P1-S1H4A1L1U1/HT125P1-S1H4A1L1U1_processed_sub_6_7_cluster.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20241108__214933__20241108_V1_KRAS_HTAN_PDAC_CRC/output-XETG00122__0033854__HT125P1-S1H4A1L1U1__20241108__215027_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12V	PDAC	primary
HT125P1-S1H8A1U1	Tumor	Tumor	LowCount	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/merged_analysis/v3_freeze/merge/primary_only/cell_barcode_csv_files/HT125P1-S1H8A1U1_PDAC_merge_primary_KRAS_20241205_single_SCT_cell_type_merge_v3.tsv	/diskmnt/Projects/HTAN_analysis_2/PDAC/xenium/snvs_project/individual_objects/xr_v2_0/HT125P1-S1H8A1U1/HT125P1-S1H8A1U1_processed_sub_2_cluster.rds	/diskmnt/primary/Xenium/data/data_reprocess_xeniumranger_v2.0/20241108__214933__20241108_V1_KRAS_HTAN_PDAC_CRC/output-XETG00122__0034249__HT125P1-S1H8A1U1__20241108__215027_xrv2_0_ne_5um_df_100_rn_true/outs/	KRAS p.G12V	PDAC	primary
