	Sample_ID	Alternate_sample_ID	matching_snRNA_sample_ID_1_closest_match	matching_scRNA_sample_ID_1_closest_match
1	HT227P1-S1H1L1U1		HT227P1-S1H1A3Y1Nd1_1Z1_1Bmn1_1	
2	HT242P1-S1H4L4U1		HT242P1-S1H1Fc2A2N1Z1_1Bmn1	
3	HT243B1-S1H1A4U1		HT243B1-S1H4Fc2A2N1Z1_1Bmn1	
4	HT260C1-Th1K1L1U1		HT260C1-Th1K1Fc2A2N1Bma1_1	
5	HT268B1-Th1H3L1U1		HT268B1-Th1H3Fc2A2N1Z1_1Bmn1_1	
6	HT284P1-S1H1A1U1		HT284P1-S1H2Fc2A2N1Z1_1Bmn1_1	
7	HT305B1-S1H5A1U1		HT305B1-S1H1Fc2A2_1N1Bmn1_1	
8	HT308B1-S1H5A4U1		HT308B1-S1V1Fc2A2N1Z1_1Bmn1_1	
9	HT425B1-S1H1Fp1U1		HT425B1-S1H1A3Y1N1Z1_1Bmn1_1	
10	HT65B1-H1A1A4U1		HT065B1-S1H1A3N1	
11	HT270P1-S1H1A1US2_1		HT270P1-S1H2Fc2A2N1Bmn1_1	
12	SP001P1-Fp1U1		PM1467P1-T1Y2N1Z1_1Bmn1_1	
15	WUPE08092A1-S1H3U1			
13	WUPE82256U1-Fp1U1			
14	WUPE25723U1-Fp1U1			
16	WUPE68972U1-Fp1U1			
17	WUPE38758U1-Fp1U1			
18	WUPE62598U1-Fp2U1			
19	WUPE28077U1-Fp1U1			
20	WUPE04916U1-Fp1U1			
21	WUPE86238U1-Fp1U1			
22	SN105H1-Ma1Fp2-5U1			
23	SN106H1-Ma1Fp2-7U1			
24	C3L-01287-11Us2_1		CPT0079400003	
25	C3L-03372-12Us3_1		C3L-03372_CPT0275960013_2022-01-31	
26	C3N-00663-11U3		C3N-00663_CPT0087730015_2021-03-08	
27	SP002C1-Fp1U2			
28	HT060P1-S1R1Fp1U1			HT060P1-S1R1A1G1Z1_1B2_1
29	HT061P1-S1P1A1L1U1			HT061P1-S1PAA1A1Z1_1B2_1
30	HT061P1-S1P1A1L4U1			HT061P1-S1PAA1A1Z1_1B2_1
31	HT125P1-S1H4A1L1U1			HT125P1-S1H4A2K1G1Z1_1B1
32	HT125P1-S1H8A1U1			HT125P1-S1H8A2K1G1Z1_1B1
33	HT179C1-T1Fp3L5U1		HT179C1-T1A3Y1N1	
34	HT185P1-S1H2L1U1			HT185P1-S1H2A2K1G1Z1_1B1
